Top_Selling,App_Id,Name,Cost,Country,Datetime
1,2074920,The First Descendant,Free To Play,PH,2024-08-05 12:04
2,2139460,Once Human,Free To Play,PH,2024-08-05 12:04
3,578080,PUBG: BATTLEGROUNDS,Free To Play,PH,2024-08-05 12:04
4,1203220,NARAKA: BLADEPOINT,Free To Play,PH,2024-08-05 12:04
5,2855560,流亡黯道,Free To Play,PH,2024-08-05 12:04
6,730,Counter-Strike 2,Free To Play,PH,2024-08-05 12:04
7,1172470,Apex Legends™,Free To Play,PH,2024-08-05 12:04
8,2668080,Snowbreak: Containment Zone,Free To Play,PH,2024-08-05 12:04
9,1245620,ELDEN RING,"NT$ 1,790.00",PH,2024-08-05 12:04
10,1610440,Minds Beneath Us,NT$ 385.00,PH,2024-08-05 12:04
11,1859910,Legend of Mortal,NT$ 369.00,PH,2024-08-05 12:04
12,2445690,Lost Castle 2,NT$ 220.00,PH,2024-08-05 12:04
13,958260,DEAD OR ALIVE Xtreme Venus Vacation,Free To Play,PH,2024-08-05 12:04
14,20340,Atelier Mysterious Trilogy Deluxe Pack,"NT$ 1,695.00",PH,2024-08-05 12:04
15,1909840,JIANGHU CHRONICLES,NT$ 278.00,PH,2024-08-05 12:04
16,2358720,Black Myth: Wukong,"NT$ 1,280.00",PH,2024-08-05 12:04
17,230410,Warframe,Free To Play,PH,2024-08-05 12:04
18,835570,Conqueror's Blade,Free To Play,PH,2024-08-05 12:04
19,2897760,Romantic Escapades(hidden by your preferences),NT$ 295.00,PH,2024-08-05 12:04
20,814380,Sekiro™: Shadows Die Twice - GOTY Edition,NT$ 795.00,PH,2024-08-05 12:04
21,381210,Dead by Daylight,NT$ 151.00,PH,2024-08-05 12:04
22,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",PH,2024-08-05 12:04
23,1973710,ヘブンバーンズレッド,Free To Play,PH,2024-08-05 12:04
24,2458860,Summer Clover(hidden by your preferences),NT$ 329.00,PH,2024-08-05 12:04
25,271590,Grand Theft Auto V,NT$ 662.00,PH,2024-08-05 12:04
26,236390,War Thunder,Free To Play,PH,2024-08-05 12:04
27,227300,Euro Truck Simulator 2,NT$ 428.00,PH,2024-08-05 12:04
28,251570,7 Days to Die,NT$ 670.00,PH,2024-08-05 12:04
29,2524890,Pixel Gun 3D: PC Edition,Free To Play,PH,2024-08-05 12:04
30,872410,ROMANCE OF THE THREE KINGDOMS XIV,"NT$ 1,074.00",PH,2024-08-05 12:04
31,1049590,Eternal Return,Free To Play,PH,2024-08-05 12:04
32,1809540,Nine Sols,NT$ 650.00,PH,2024-08-05 12:04
33,11067,Ancestors Legacy - Complete Edition,NT$ 44.00,PH,2024-08-05 12:04
34,1422440,Cataclismo,NT$ 559.00,PH,2024-08-05 12:04
35,2261050,For the Queen(hidden by your preferences),NT$ 57.00,PH,2024-08-05 12:04
36,41595,Legend of Mortal + Original Soundtrack,NT$ 445.00,PH,2024-08-05 12:04
37,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,PH,2024-08-05 12:04
38,21037,Stellaris: Ultimate Bundle,"NT$ 7,428.00",PH,2024-08-05 12:04
39,1088850,Marvel's Guardians of the Galaxy,NT$ 298.00,PH,2024-08-05 12:04
40,1416920,Chinese Online Game,NT$ 188.00,PH,2024-08-05 12:04
41,985810,GrandChase,Free To Play,PH,2024-08-05 12:04
42,36564,Xuan-Yuan Sword Bunble,NT$ 632.00,PH,2024-08-05 12:04
43,1551360,Forza Horizon 5,"NT$ 1,688.00",PH,2024-08-05 12:04
44,1329410,雀魂麻將(MahjongSoul),Free To Play,PH,2024-08-05 12:04
45,1364780,Street Fighter™ 6,"NT$ 1,680.00",PH,2024-08-05 12:04
46,1449850,Yu-Gi-Oh! Master Duel,Free To Play,PH,2024-08-05 12:04
47,1203620,Enshrouded,NT$ 399.00,PH,2024-08-05 12:04
48,1282100,REMNANT II®,NT$ 550.00,PH,2024-08-05 12:04
49,1086940,Baldur's Gate 3,"NT$ 1,599.00",PH,2024-08-05 12:04
50,1902690,Fate/Samurai Remnant,"NT$ 1,293.00",PH,2024-08-05 12:04
51,728880,Overcooked! 2,NT$ 211.00,PH,2024-08-05 12:04
52,1623730,Palworld,NT$ 488.00,PH,2024-08-05 12:04
53,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,PH,2024-08-05 12:04
54,2349820,Hero's Land,Free To Play,PH,2024-08-05 12:04
55,2688650,PERFECT CELLS PROJECT(hidden by your preferences),NT$ 169.00,PH,2024-08-05 12:04
56,2016590,Dark and Darker,Free To Play,PH,2024-08-05 12:04
57,949230,Cities: Skylines II,"NT$ 1,398.00",PH,2024-08-05 12:04
58,2484250,ASTRA: Knights of Veda,Free To Play,PH,2024-08-05 12:04
59,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",PH,2024-08-05 12:04
60,1621310,Atelier Sophie 2: The Alchemist of the Mysterious Dream,NT$ 995.00,PH,2024-08-05 12:04
61,813780,Age of Empires II: Definitive Edition,NT$ 679.00,PH,2024-08-05 12:04
62,2594920,Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,Free To Play,PH,2024-08-05 12:04
63,32470,Cyberpunk 2077: Ultimate Edition,"NT$ 2,206.00",PH,2024-08-05 12:04
64,1260320,Party Animals,NT$ 419.00,PH,2024-08-05 12:04
65,2972990,hololive Treasure Mountain,NT$ 172.00,PH,2024-08-05 12:04
66,620590,Ancestors Legacy,NT$ 44.00,PH,2024-08-05 12:04
67,2344520,Diablo® IV,"NT$ 1,575.00",PH,2024-08-05 12:04
68,510899,ROMANCE OF THE THREE KINGDOMS XIV: Diplomacy and Strategy Expansion Pack Bundle - Digital Deluxe Edition,"NT$ 1,743.00",PH,2024-08-05 12:04
69,1974050,Torchlight: Infinite,Free To Play,PH,2024-08-05 12:04
70,2854170,"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!(hidden by your preferences)",NT$ 599.00,PH,2024-08-05 12:04
71,831560,WARRIORS OROCHI 4,"NT$ 1,194.00",PH,2024-08-05 12:04
72,2567870,Chained Together,NT$ 102.00,PH,2024-08-05 12:04
73,1857090,Norland,NT$ 699.00,PH,2024-08-05 12:04
74,1432860,Sun Haven,NT$ 189.00,PH,2024-08-05 12:04
75,13066,Atelier Dusk Trilogy Deluxe Pack,"NT$ 1,554.00",PH,2024-08-05 12:04
76,1097580,CUSTOM ORDER MAID 3D2 It's a Night Magic,NT$ 568.00,PH,2024-08-05 12:04
77,33208,『OCTOPATH TRAVELER II』+『VARIOUS DAYLIFE』Bundle,"NT$ 1,862.00",PH,2024-08-05 12:04
78,2991400,Himegashima Island,NT$ 214.00,PH,2024-08-05 12:04
79,510898,ROMANCE OF THE THREE KINGDOMS XIV: Diplomacy and Strategy Expansion Pack Bundle,"NT$ 1,194.00",PH,2024-08-05 12:04
80,431960,Wallpaper Engine,NT$ 120.00,PH,2024-08-05 12:04
81,2426960,Summoners War,Free To Play,PH,2024-08-05 12:04
82,552990,World of Warships,Free To Play,PH,2024-08-05 12:04
83,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",PH,2024-08-05 12:04
84,9121,Atelier Arland series Deluxe Pack,"NT$ 1,554.00",PH,2024-08-05 12:04
85,1876890,Wandering Sword,NT$ 359.00,PH,2024-08-05 12:04
86,553850,HELLDIVERS™ 2,"NT$ 1,190.00",PH,2024-08-05 12:04
87,1332010,Stray,NT$ 323.00,PH,2024-08-05 12:04
