Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,PL,2024-08-27 12:05
2,1675200,Steam Deck,Free To Play,PL,2024-08-27 12:05
3,2358720,Black Myth: Wukong,"NT$ 1,280.00",PL,2024-08-27 12:05
4,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,PL,2024-08-27 12:05
5,2344520,Diablo® IV,NT$ 945.00,PL,2024-08-27 12:05
6,1030840,Mafia: Definitive Edition,NT$ 238.00,PL,2024-08-27 12:05
7,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",PL,2024-08-27 12:05
8,239140,Dying Light,NT$ 60.00,PL,2024-08-27 12:05
9,236390,War Thunder,Free To Play,PL,2024-08-27 12:05
10,271590,Grand Theft Auto V,NT$ 480.00,PL,2024-08-27 12:05
11,570,Dota 2,Free To Play,PL,2024-08-27 12:05
12,1527950,Wartales,NT$ 406.00,PL,2024-08-27 12:05
13,1326470,Sons Of The Forest,NT$ 488.00,PL,2024-08-27 12:05
15,1086940,Baldur's Gate 3,"NT$ 1,599.00",PL,2024-08-27 12:05
16,238960,Path of Exile(not available in your region),"NT$ 1,599.00",PL,2024-08-27 12:05
18,289070,Sid Meier’s Civilization® VI,NT$ 179.00,PL,2024-08-27 12:05
19,381210,Dead by Daylight,NT$ 379.00,PL,2024-08-27 12:05
20,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",PL,2024-08-27 12:05
21,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",PL,2024-08-27 12:05
22,227300,Euro Truck Simulator 2,NT$ 428.00,PL,2024-08-27 12:05
23,394360,Hearts of Iron IV,NT$ 380.00,PL,2024-08-27 12:05
24,1621690,Core Keeper,NT$ 262.00,PL,2024-08-27 12:05
26,739630,Phasmophobia,NT$ 248.00,PL,2024-08-27 12:05
27,284160,BeamNG.drive,NT$ 408.00,PL,2024-08-27 12:05
28,230410,Warframe,Free To Play,PL,2024-08-27 12:05
29,380600,Fishing Planet,Free To Play,PL,2024-08-27 12:05
30,3112270,Wartales - The Pits,NT$ 268.00,PL,2024-08-27 12:05
31,412020,Metro Exodus,NT$ 175.00,PL,2024-08-27 12:05
32,1059530,Valve Index® Headset(not available in your region),NT$ 175.00,PL,2024-08-27 12:05
33,1040200,Crime Scene Cleaner,NT$ 288.00,PL,2024-08-27 12:05
34,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,PL,2024-08-27 12:05
36,1934680,Age of Mythology: Retold,"NT$ 1,018.00",PL,2024-08-27 12:05
37,1091500,Cyberpunk 2077,"NT$ 1,599.00",PL,2024-08-27 12:05
38,440,Team Fortress 2,Free To Play,PL,2024-08-27 12:05
39,444200,World of Tanks Blitz,Free To Play,PL,2024-08-27 12:05
40,1966720,Lethal Company,NT$ 188.00,PL,2024-08-27 12:05
41,578080,PUBG: BATTLEGROUNDS,Free To Play,PL,2024-08-27 12:05
42,2144640,Endzone 2,NT$ 367.00,PL,2024-08-27 12:05
43,1167630,Teardown,NT$ 849.00,PL,2024-08-27 12:05
44,2139460,Once Human,Free To Play,PL,2024-08-27 12:05
45,1245620,ELDEN RING,"NT$ 1,790.00",PL,2024-08-27 12:05
46,761890,Albion Online,Free To Play,PL,2024-08-27 12:05
48,1551360,Forza Horizon 5,"NT$ 1,688.00",PL,2024-08-27 12:05
50,1172470,Apex Legends™,Free To Play,PL,2024-08-27 12:05
52,2567870,Chained Together,NT$ 102.00,PL,2024-08-27 12:05
54,1248130,Farming Simulator 22,NT$ 650.00,PL,2024-08-27 12:05
55,1043810,Tactical Breach Wizards,NT$ 295.00,PL,2024-08-27 12:05
56,1599340,Lost Ark(not available in your region),NT$ 295.00,PL,2024-08-27 12:05
57,2074920,The First Descendant,Free To Play,PL,2024-08-27 12:05
58,867210,Songs of Conquest,NT$ 379.00,PL,2024-08-27 12:05
59,1201540,HELLCARD,NT$ 244.00,PL,2024-08-27 12:05
60,250900,The Binding of Isaac: Rebirth,NT$ 268.00,PL,2024-08-27 12:05
61,2300320,Farming Simulator 25,"NT$ 1,199.00",PL,2024-08-27 12:05
62,2808930,Lust Goddess(hidden by your preferences),Free To Play,PL,2024-08-27 12:05
63,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",PL,2024-08-27 12:05
64,1771300,Kingdom Come: Deliverance II,"NT$ 1,755.00",PL,2024-08-27 12:05
65,2186680,"Warhammer 40,000: Rogue Trader",NT$ 484.00,PL,2024-08-27 12:05
66,2162800,shapez 2,NT$ 326.00,PL,2024-08-27 12:05
67,252490,Rust,NT$ 694.00,PL,2024-08-27 12:05
68,466560,Northgard,NT$ 109.00,PL,2024-08-27 12:05
69,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,PL,2024-08-27 12:05
70,1407200,World of Tanks,Free To Play,PL,2024-08-27 12:05
71,553850,HELLDIVERS™ 2,"NT$ 1,190.00",PL,2024-08-27 12:05
72,1222140,Detroit: Become Human,NT$ 396.00,PL,2024-08-27 12:05
73,1575940,Sins of a Solar Empire II,NT$ 596.00,PL,2024-08-27 12:05
74,343780,Cat Goes Fishing,NT$ 208.00,PL,2024-08-27 12:05
76,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,PL,2024-08-27 12:05
78,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",PL,2024-08-27 12:05
79,2961880,Grocery Store Simulator,NT$ 152.00,PL,2024-08-27 12:05
80,2853730,Skull and Bones,NT$ 716.00,PL,2024-08-27 12:05
81,2437170,SMITE 2,NT$ 702.00,PL,2024-08-27 12:05
82,2488620,F1® 24,"NT$ 1,199.00",PL,2024-08-27 12:05
83,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,199.00",PL,2024-08-27 12:05
84,1295660,Sid Meier's Civilization® VII,"NT$ 2,090.00",PL,2024-08-27 12:05
85,1898300,ASKA,NT$ 326.00,PL,2024-08-27 12:05
86,2670630,Supermarket Simulator,NT$ 238.00,PL,2024-08-27 12:05
87,1129580,Medieval Dynasty,NT$ 629.00,PL,2024-08-27 12:05
89,1938090,Call of Duty®,NT$ 629.00,PL,2024-08-27 12:05
90,431960,Wallpaper Engine,NT$ 120.00,PL,2024-08-27 12:05
92,594650,Hunt: Showdown 1896,NT$ 799.00,PL,2024-08-27 12:05
93,1158310,Crusader Kings III,"NT$ 1,268.00",PL,2024-08-27 12:05
94,1363080,Manor Lords,NT$ 999.00,PL,2024-08-27 12:05
96,391220,Rise of the Tomb Raider™,NT$ 148.00,PL,2024-08-27 12:05
97,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,NT$ 468.00,PL,2024-08-27 12:05
98,2322010,God of War Ragnarök,"NT$ 1,490.00",PL,2024-08-27 12:05
99,646570,Slay the Spire,NT$ 169.00,PL,2024-08-27 12:05
100,236850,Europa Universalis IV,"NT$ 1,018.00",PL,2024-08-27 12:05
