Rank,GameID,GameName,Cost,Country,Datetime
1,570,Dota 2,Free To Play,RU,2024-08-08 12:03
2,730,Counter-Strike 2,Free To Play,RU,2024-08-08 12:03
3,578080,PUBG: BATTLEGROUNDS,Free To Play,RU,2024-08-08 12:03
4,252490,Rust,NT$ 694.00,RU,2024-08-08 12:03
5,1818450,STALCRAFT: X,Free To Play,RU,2024-08-08 12:03
6,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",RU,2024-08-08 12:03
7,2074920,The First Descendant,Free To Play,RU,2024-08-08 12:03
8,1086940,Baldur's Gate 3,"NT$ 1,599.00",RU,2024-08-08 12:03
9,1245620,ELDEN RING,"NT$ 1,790.00",RU,2024-08-08 12:03
10,2358720,Black Myth: Wukong,"NT$ 1,280.00",RU,2024-08-08 12:03
11,2808930,Lust Goddess(hidden by your preferences),Free To Play,RU,2024-08-08 12:03
12,1149460,ICARUS,NT$ 283.00,RU,2024-08-08 12:03
13,440,Team Fortress 2,Free To Play,RU,2024-08-08 12:03
14,1449690,The Walking Dead: The Telltale Definitive Series,NT$ 149.00,RU,2024-08-08 12:03
15,238960,Path of Exile(not available in your region),NT$ 149.00,RU,2024-08-08 12:03
16,548430,Deep Rock Galactic,NT$ 144.00,RU,2024-08-08 12:03
17,2396980,Fate/stay night REMASTERED,NT$ 439.00,RU,2024-08-08 12:03
18,1282100,REMNANT II®,NT$ 550.00,RU,2024-08-08 12:03
19,739630,Phasmophobia,NT$ 248.00,RU,2024-08-08 12:03
20,546560,Half-Life: Alyx,NT$ 305.00,RU,2024-08-08 12:03
21,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,RU,2024-08-08 12:03
22,681280,Descenders,NT$ 75.00,RU,2024-08-08 12:03
23,107410,Arma 3,NT$ 174.00,RU,2024-08-08 12:03
24,431960,Wallpaper Engine,NT$ 120.00,RU,2024-08-08 12:03
25,2139460,Once Human,Free To Play,RU,2024-08-08 12:03
26,2567870,Chained Together,NT$ 102.00,RU,2024-08-08 12:03
27,494840,UBOAT,NT$ 146.00,RU,2024-08-08 12:03
28,227300,Euro Truck Simulator 2,NT$ 428.00,RU,2024-08-08 12:03
29,766570,Russian Fishing 4,Free To Play,RU,2024-08-08 12:03
30,233860,Kenshi,NT$ 438.00,RU,2024-08-08 12:03
31,2881650,Content Warning,NT$ 152.00,RU,2024-08-08 12:03
33,2016590,Dark and Darker,Free To Play,RU,2024-08-08 12:03
35,1966720,Lethal Company,NT$ 188.00,RU,2024-08-08 12:03
36,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",RU,2024-08-08 12:03
37,1332010,Stray,NT$ 323.00,RU,2024-08-08 12:03
38,221100,DayZ,"NT$ 1,499.00",RU,2024-08-08 12:03
39,294100,RimWorld,NT$ 529.00,RU,2024-08-08 12:03
40,284160,BeamNG.drive,NT$ 408.00,RU,2024-08-08 12:03
42,594650,Hunt: Showdown,NT$ 799.00,RU,2024-08-08 12:03
43,4000,Garry's Mod,NT$ 278.00,RU,2024-08-08 12:03
44,393380,Squad,"NT$ 1,000.00",RU,2024-08-08 12:03
45,2066020,Soulstone Survivors,NT$ 122.00,RU,2024-08-08 12:03
46,1119730,"Ranch Simulator: Build, Hunt, Farm",NT$ 113.00,RU,2024-08-08 12:03
47,992300,嗜血印 Bloody Spell,NT$ 63.00,RU,2024-08-08 12:03
48,250900,The Binding of Isaac: Rebirth,NT$ 268.00,RU,2024-08-08 12:03
49,516750,My Summer Car,NT$ 268.00,RU,2024-08-08 12:03
50,648800,Raft,NT$ 468.00,RU,2024-08-08 12:03
51,389730,TEKKEN 7,NT$ 247.00,RU,2024-08-08 12:03
52,1203220,NARAKA: BLADEPOINT,Free To Play,RU,2024-08-08 12:03
53,105600,Terraria,NT$ 188.00,RU,2024-08-08 12:03
54,1144200,Ready or Not,NT$ 846.00,RU,2024-08-08 12:03
55,251570,7 Days to Die,NT$ 670.00,RU,2024-08-08 12:03
56,1326470,Sons Of The Forest,NT$ 488.00,RU,2024-08-08 12:03
57,1681430,RoboCop: Rogue City,NT$ 599.00,RU,2024-08-08 12:03
59,892970,Valheim,NT$ 318.00,RU,2024-08-08 12:03
60,2073850,THE FINALS,Free To Play,RU,2024-08-08 12:03
61,1351240,Taxi Life: A City Driving Simulator,NT$ 323.00,RU,2024-08-08 12:03
63,1458140,Pacific Drive,NT$ 340.00,RU,2024-08-08 12:03
64,2305840,Cat Quest III,NT$ 340.00,RU,2024-08-08 12:03
65,2406770,Bodycam,NT$ 566.00,RU,2024-08-08 12:03
66,761890,Albion Online,Free To Play,RU,2024-08-08 12:03
67,323190,Frostpunk,NT$ 488.00,RU,2024-08-08 12:03
68,629520,Soundpad,NT$ 102.00,RU,2024-08-08 12:03
69,268910,Cuphead,NT$ 468.00,RU,2024-08-08 12:03
70,108600,Project Zomboid,NT$ 328.00,RU,2024-08-08 12:03
71,322330,Don't Starve Together,NT$ 268.00,RU,2024-08-08 12:03
72,803330,Destroy All Humans!,NT$ 69.00,RU,2024-08-08 12:03
74,1158310,Crusader Kings III,"NT$ 1,268.00",RU,2024-08-08 12:03
75,606280,Darksiders III,NT$ 139.00,RU,2024-08-08 12:03
76,1665460,eFootball™ 2024,Free To Play,RU,2024-08-08 12:03
77,242760,The Forest,NT$ 318.00,RU,2024-08-08 12:03
79,1659040,HITMAN World of Assassination,NT$ 420.00,RU,2024-08-08 12:03
81,767560,War Robots,Free To Play,RU,2024-08-08 12:03
82,427520,Factorio,NT$ 600.00,RU,2024-08-08 12:03
83,597820,BIOMUTANT,NT$ 142.00,RU,2024-08-08 12:03
84,413150,Stardew Valley,NT$ 398.00,RU,2024-08-08 12:03
85,475150,Titan Quest Anniversary Edition,NT$ 93.00,RU,2024-08-08 12:03
86,228380,Wreckfest,NT$ 279.00,RU,2024-08-08 12:03
87,1110910,Mortal Shell,NT$ 65.00,RU,2024-08-08 12:03
88,1371580,Myth of Empires,NT$ 244.00,RU,2024-08-08 12:03
89,1230530,Atlas Fallen: Reign Of Sand,NT$ 549.00,RU,2024-08-08 12:03
90,755500,ONE PIECE World Seeker,NT$ 129.00,RU,2024-08-08 12:03
91,1623730,Palworld,NT$ 488.00,RU,2024-08-08 12:03
92,673750,Super Bunny Man,NT$ 175.00,RU,2024-08-08 12:03
93,2901520,An alt girl for skoof,NT$ 102.00,RU,2024-08-08 12:03
94,394360,Hearts of Iron IV,"NT$ 1,268.00",RU,2024-08-08 12:03
95,784150,Workers & Resources: Soviet Republic,NT$ 649.00,RU,2024-08-08 12:03
96,262060,Darkest Dungeon®,NT$ 61.00,RU,2024-08-08 12:03
98,2961880,Grocery Store Simulator,NT$ 152.00,RU,2024-08-08 12:03
99,945360,Among Us,NT$ 77.00,RU,2024-08-08 12:03
100,2064650,Tower of Fantasy(not available in your region),NT$ 77.00,RU,2024-08-08 12:03
