Top_Selling,App_Id,Name,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,SE,2024-08-05 12:04
2,238960,Path of Exile(not available in your region),Free To Play,SE,2024-08-05 12:04
3,1245620,ELDEN RING,"NT$ 1,790.00",SE,2024-08-05 12:04
4,2074920,The First Descendant,Free To Play,SE,2024-08-05 12:04
5,236390,War Thunder,Free To Play,SE,2024-08-05 12:04
6,570,Dota 2,Free To Play,SE,2024-08-05 12:04
7,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,SE,2024-08-05 12:04
8,1675200,Steam Deck,NT$ 662.00,SE,2024-08-05 12:04
9,2139460,Once Human,Free To Play,SE,2024-08-05 12:04
10,582660,Black Desert,NT$ 200.00,SE,2024-08-05 12:04
11,1086940,Baldur's Gate 3,"NT$ 1,599.00",SE,2024-08-05 12:04
12,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",SE,2024-08-05 12:04
13,27271,Guild Wars 2: Elder Dragon Saga—Complete Collection,"NT$ 2,877.00",SE,2024-08-05 12:04
14,2567870,Chained Together,NT$ 102.00,SE,2024-08-05 12:04
15,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 102.00,SE,2024-08-05 12:04
16,41922,God of War Ragnarök Digital Deluxe Edition,"NT$ 1,790.00",SE,2024-08-05 12:04
17,1203620,Enshrouded,NT$ 399.00,SE,2024-08-05 12:04
18,21478,FINAL FANTASY I-VI Bundle,"NT$ 1,680.00",SE,2024-08-05 12:04
19,230410,Warframe,Free To Play,SE,2024-08-05 12:04
20,271590,Grand Theft Auto V,NT$ 662.00,SE,2024-08-05 12:04
21,40111,Gray Zone Warfare - Supporter Edition Upgrade,"NT$ 1,062.00",SE,2024-08-05 12:04
22,252490,Rust,NT$ 694.00,SE,2024-08-05 12:04
23,578080,PUBG: BATTLEGROUNDS,Free To Play,SE,2024-08-05 12:04
24,381210,Dead by Daylight,NT$ 151.00,SE,2024-08-05 12:04
25,440,Team Fortress 2,Free To Play,SE,2024-08-05 12:04
26,1422440,Cataclismo,NT$ 559.00,SE,2024-08-05 12:04
27,494840,UBOAT,NT$ 146.00,SE,2024-08-05 12:04
28,553850,HELLDIVERS™ 2,"NT$ 1,190.00",SE,2024-08-05 12:04
29,1599340,Lost Ark(not available in your region),"NT$ 1,190.00",SE,2024-08-05 12:04
30,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,SE,2024-08-05 12:04
31,227300,Euro Truck Simulator 2,NT$ 428.00,SE,2024-08-05 12:04
32,13326,Metro Saga Bundle,"NT$ 1,739.00",SE,2024-08-05 12:04
33,1172470,Apex Legends™,Free To Play,SE,2024-08-05 12:04
34,1085660,Destiny 2,Free To Play,SE,2024-08-05 12:04
35,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",SE,2024-08-05 12:04
36,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",SE,2024-08-05 12:04
37,1363080,Manor Lords,NT$ 749.00,SE,2024-08-05 12:04
38,1222670,The Sims™ 4,Free To Play,SE,2024-08-05 12:04
39,306130,The Elder Scrolls® Online,NT$ 599.00,SE,2024-08-05 12:04
40,548430,Deep Rock Galactic,NT$ 144.00,SE,2024-08-05 12:04
41,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",SE,2024-08-05 12:04
42,1174180,Red Dead Redemption 2,"NT$ 1,790.00",SE,2024-08-05 12:04
43,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",SE,2024-08-05 12:04
44,518790,theHunter: Call of the Wild™,NT$ 318.00,SE,2024-08-05 12:04
45,949230,Cities: Skylines II,"NT$ 1,398.00",SE,2024-08-05 12:04
46,12878,Operator's Pack,"NT$ 1,340.00",SE,2024-08-05 12:04
47,1326470,Sons Of The Forest,NT$ 488.00,SE,2024-08-05 12:04
48,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",SE,2024-08-05 12:04
49,1465360,SnowRunner,NT$ 424.00,SE,2024-08-05 12:04
50,28819,"The Good, The Bad, and The Low Poly",NT$ 662.00,SE,2024-08-05 12:04
51,394360,Hearts of Iron IV,"NT$ 1,268.00",SE,2024-08-05 12:04
