Top_Selling,App_Id,Name,Cost,Country,Datetime
1,2074920,The First Descendant,Free To Play,SG,2024-08-05 12:04
2,730,Counter-Strike 2,Free To Play,SG,2024-08-05 12:04
3,578080,PUBG: BATTLEGROUNDS,Free To Play,SG,2024-08-05 12:04
4,570,Dota 2,Free To Play,SG,2024-08-05 12:04
5,238960,Path of Exile(not available in your region),Free To Play,SG,2024-08-05 12:04
6,2358720,Black Myth: Wukong,"NT$ 1,280.00",SG,2024-08-05 12:04
7,2139460,Once Human,Free To Play,SG,2024-08-05 12:04
8,2526380,Sword of Convallaria,Free To Play,SG,2024-08-05 12:04
9,1245620,ELDEN RING,"NT$ 1,790.00",SG,2024-08-05 12:04
10,230410,Warframe,Free To Play,SG,2024-08-05 12:04
11,1282100,REMNANT II®,NT$ 550.00,SG,2024-08-05 12:04
12,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",SG,2024-08-05 12:04
13,2808930,Lust Goddess(hidden by your preferences),Free To Play,SG,2024-08-05 12:04
14,30555,The Legend of Heroes: Trails through Daybreak Ultimate Edition,"NT$ 2,595.00",SG,2024-08-05 12:04
15,958260,DEAD OR ALIVE Xtreme Venus Vacation,Free To Play,SG,2024-08-05 12:04
16,39394,Command & Conquer™ The Ultimate Collection,NT$ 720.00,SG,2024-08-05 12:04
17,2567870,Chained Together,NT$ 102.00,SG,2024-08-05 12:04
18,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",SG,2024-08-05 12:04
19,1203620,Enshrouded,NT$ 399.00,SG,2024-08-05 12:04
20,1203220,NARAKA: BLADEPOINT,Free To Play,SG,2024-08-05 12:04
21,43422,Alone in the Dark Bundle,NT$ 758.00,SG,2024-08-05 12:04
22,1172470,Apex Legends™,Free To Play,SG,2024-08-05 12:04
23,273110,Counter-Strike Nexon: Studio(not available in your region),Free To Play,SG,2024-08-05 12:04
24,2073850,THE FINALS,Free To Play,SG,2024-08-05 12:04
25,236390,War Thunder,Free To Play,SG,2024-08-05 12:04
26,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,SG,2024-08-05 12:04
27,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",SG,2024-08-05 12:04
28,814380,Sekiro™: Shadows Die Twice - GOTY Edition,NT$ 795.00,SG,2024-08-05 12:04
29,440,Team Fortress 2,Free To Play,SG,2024-08-05 12:04
30,835570,Conqueror's Blade,Free To Play,SG,2024-08-05 12:04
31,1422440,Cataclismo,NT$ 559.00,SG,2024-08-05 12:04
32,548430,Deep Rock Galactic,NT$ 144.00,SG,2024-08-05 12:04
33,28931,DEATHLOOP + Ghostwire: Tokyo Bundle,"NT$ 2,986.00",SG,2024-08-05 12:04
34,40983,Eiyuden Chronicle: Rising + Eiyuden Chronicle: Hundred Heroes Digital Deluxe Edition,"NT$ 1,429.00",SG,2024-08-05 12:04
35,2315690,WWE 2K24,NT$ 895.00,SG,2024-08-05 12:04
36,1284210,Guild Wars 2,Free To Play,SG,2024-08-05 12:04
37,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",SG,2024-08-05 12:04
38,905071,Exoprimal Deluxe Edition,NT$ 709.00,SG,2024-08-05 12:04
39,271590,Grand Theft Auto V,NT$ 662.00,SG,2024-08-05 12:04
40,1091500,Cyberpunk 2077,"NT$ 1,599.00",SG,2024-08-05 12:04
41,31351,Passpartout Bundle,NT$ 617.00,SG,2024-08-05 12:04
42,2357570,Overwatch® 2,Free To Play,SG,2024-08-05 12:04
43,6306,Deep Rock Galactic: Dwarven Legacy,NT$ 872.00,SG,2024-08-05 12:04
44,553850,HELLDIVERS™ 2,"NT$ 1,190.00",SG,2024-08-05 12:04
45,2344520,Diablo® IV,"NT$ 1,575.00",SG,2024-08-05 12:04
46,1449850,Yu-Gi-Oh! Master Duel,Free To Play,SG,2024-08-05 12:04
47,719640,War Planet Online: Global Conquest,Free To Play,SG,2024-08-05 12:04
48,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",SG,2024-08-05 12:04
49,43367,Indie Time Management,NT$ 441.00,SG,2024-08-05 12:04
50,1954420,RiichiCity - ACG mahjong games,Free To Play,SG,2024-08-05 12:04
51,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",SG,2024-08-05 12:04
52,2668080,Snowbreak: Containment Zone,Free To Play,SG,2024-08-05 12:04
53,1086940,Baldur's Gate 3,"NT$ 1,599.00",SG,2024-08-05 12:04
54,381210,Dead by Daylight,NT$ 151.00,SG,2024-08-05 12:04
55,26881,Ultimate Conquest Bundle,NT$ 539.00,SG,2024-08-05 12:04
56,1144200,Ready or Not,NT$ 846.00,SG,2024-08-05 12:04
57,27593,Dead by Daylight - Resident Evil: Collaboration Bundle,NT$ 425.00,SG,2024-08-05 12:04
58,1332010,Stray,NT$ 323.00,SG,2024-08-05 12:04
59,31753,First Person Puzzle Bundle,"NT$ 1,312.00",SG,2024-08-05 12:04
60,2239150,Thronefall,NT$ 159.00,SG,2024-08-05 12:04
61,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,SG,2024-08-05 12:04
62,43419,Car and UBOAT Manufacture,NT$ 396.00,SG,2024-08-05 12:04
63,2488620,F1® 24,"NT$ 1,999.00",SG,2024-08-05 12:04
64,1432860,Sun Haven,NT$ 189.00,SG,2024-08-05 12:04
65,413150,Stardew Valley,NT$ 398.00,SG,2024-08-05 12:04
66,5400,War On Doors Collection,NT$ 885.00,SG,2024-08-05 12:04
67,1778820,TEKKEN 8,"NT$ 1,990.00",SG,2024-08-05 12:04
68,728880,Overcooked! 2,NT$ 211.00,SG,2024-08-05 12:04
69,1085660,Destiny 2,Free To Play,SG,2024-08-05 12:04
70,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,SG,2024-08-05 12:04
71,494840,UBOAT,NT$ 146.00,SG,2024-08-05 12:04
72,2484110,FINAL FANTASY VII EVER CRISIS,Free To Play,SG,2024-08-05 12:04
73,960090,Bloons TD 6,NT$ 124.00,SG,2024-08-05 12:04
74,1435790,Escape Simulator,NT$ 349.00,SG,2024-08-05 12:04
75,36216,Starship Troopers: Terran Command Complete Bundle,NT$ 611.00,SG,2024-08-05 12:04
76,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",SG,2024-08-05 12:04
77,985810,GrandChase,Free To Play,SG,2024-08-05 12:04
78,2445690,Lost Castle 2,NT$ 220.00,SG,2024-08-05 12:04
79,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,SG,2024-08-05 12:04
80,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,SG,2024-08-05 12:04
81,1637320,Dome Keeper,NT$ 119.00,SG,2024-08-05 12:04
82,1997040,MARVEL SNAP,Free To Play,SG,2024-08-05 12:04
83,1902690,Fate/Samurai Remnant,"NT$ 1,293.00",SG,2024-08-05 12:04
84,38436,Fate and Life: The Mystery of Vaulinhorn - Deluxe Edition(hidden by your preferences),NT$ 202.00,SG,2024-08-05 12:04
85,2674290,kings call,Free To Play,SG,2024-08-05 12:04
86,1629520,A Little to the Left,NT$ 268.00,SG,2024-08-05 12:04
87,2252570,Football Manager 2024,"NT$ 1,299.00",SG,2024-08-05 12:04
88,1665460,eFootball™ 2024,Free To Play,SG,2024-08-05 12:04
89,1875830,Shin Megami Tensei V: Vengeance,"NT$ 1,790.00",SG,2024-08-05 12:04
90,28002,Curious Expedition 2 - Bundle,NT$ 242.00,SG,2024-08-05 12:04
91,1551360,Forza Horizon 5,"NT$ 1,688.00",SG,2024-08-05 12:04
92,2167580,Summoners War: Chronicles,Free To Play,SG,2024-08-05 12:04
93,2321470,Deep Rock Galactic: Survivor,NT$ 141.00,SG,2024-08-05 12:04
94,1272320,Diplomacy is Not an Option,NT$ 226.00,SG,2024-08-05 12:04
95,1809540,Nine Sols,NT$ 650.00,SG,2024-08-05 12:04
96,1138190,Poker Championship,Free To Play,SG,2024-08-05 12:04
97,2739990,Mahjong Soul(not available in your region),Free To Play,SG,2024-08-05 12:04
98,99910,Puzzle Pirates,Free To Play,SG,2024-08-05 12:04
99,42824,Untitled Goose Game & Thank Goodness You're Here! Bundle,NT$ 625.00,SG,2024-08-05 12:04
100,2366980,Thank Goodness You're Here!,NT$ 296.00,SG,2024-08-05 12:04
