Rank,GameID,GameName,Cost,Country,Datetime
1,1985810,Call of Duty®: Black Ops Cold War,NT$ 626.00,SG,2024-08-13 12:20
2,2357570,Overwatch® 2,Free To Play,SG,2024-08-13 12:20
3,2358720,Black Myth: Wukong,"NT$ 1,280.00",SG,2024-08-13 12:20
4,578080,PUBG: BATTLEGROUNDS,Free To Play,SG,2024-08-13 12:20
5,730,Counter-Strike 2,Free To Play,SG,2024-08-13 12:20
6,570,Dota 2,Free To Play,SG,2024-08-13 12:20
7,32470,Cyberpunk 2077: Ultimate Edition,"NT$ 1,360.00",SG,2024-08-13 12:20
8,1938090,Call of Duty®,"NT$ 1,360.00",SG,2024-08-13 12:20
9,2519060,Call of Duty®: Modern Warfare® III,"NT$ 2,219.00",SG,2024-08-13 12:20
10,1687950,Persona 5 Royal,NT$ 716.00,SG,2024-08-13 12:20
11,2074920,The First Descendant,Free To Play,SG,2024-08-13 12:20
12,238960,Path of Exile(not available in your region),Free To Play,SG,2024-08-13 12:20
13,1985820,Call of Duty®: Vanguard,NT$ 759.00,SG,2024-08-13 12:20
14,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",SG,2024-08-13 12:20
15,230410,Warframe,Free To Play,SG,2024-08-13 12:20
16,1091500,Cyberpunk 2077,NT$ 799.00,SG,2024-08-13 12:20
17,2790720,Call of Duty®: Modern Warfare® III - BlackCell (Season 5),"NT$ 1,008.00",SG,2024-08-13 12:20
18,2161700,Persona 3 Reload,"NT$ 1,134.00",SG,2024-08-13 12:20
19,2289298,Call of Duty®: Black Ops Cold War - Ultimate Pack,"NT$ 1,390.00",SG,2024-08-13 12:20
20,1203220,NARAKA: BLADEPOINT,Free To Play,SG,2024-08-13 12:20
21,1962660,Call of Duty®: Modern Warfare® II,"NT$ 1,109.00",SG,2024-08-13 12:20
22,1085660,Destiny 2,Free To Play,SG,2024-08-13 12:20
23,2808930,Lust Goddess(hidden by your preferences),Free To Play,SG,2024-08-13 12:20
24,582010,Monster Hunter: World,NT$ 303.00,SG,2024-08-13 12:20
25,1086940,Baldur's Gate 3,"NT$ 1,599.00",SG,2024-08-13 12:20
26,1313140,Cult of the Lamb,NT$ 244.00,SG,2024-08-13 12:20
27,1672500,GUNDAM BREAKER 4,"NT$ 1,790.00",SG,2024-08-13 12:20
28,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,SG,2024-08-13 12:20
29,2526380,Sword of Convallaria,Free To Play,SG,2024-08-13 12:20
30,1284210,Guild Wars 2,Free To Play,SG,2024-08-13 12:20
31,2139460,Once Human,Free To Play,SG,2024-08-13 12:20
32,13014,Monster Hunter World: Iceborne Master Edition Digital Deluxe,NT$ 762.00,SG,2024-08-13 12:20
33,1593500,God of War,"NT$ 1,190.00",SG,2024-08-13 12:20
34,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,190.00",SG,2024-08-13 12:20
35,397540,Borderlands 3,NT$ 178.00,SG,2024-08-13 12:20
36,2289294,Call of Duty®: Black Ops Cold War - Special Ops Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
37,2289293,Call of Duty®: Black Ops Cold War - Gilded Age III: Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
38,2289296,Call of Duty®: Black Ops Cold War - Chemical Reaction: Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
39,2289297,Call of Duty®: Black Ops Cold War - Containment Breach: Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
40,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",SG,2024-08-13 12:20
41,1118010,Monster Hunter World: Iceborne,NT$ 455.00,SG,2024-08-13 12:20
42,2142790,Fields of Mistria,NT$ 248.00,SG,2024-08-13 12:20
43,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",SG,2024-08-13 12:20
44,1245620,ELDEN RING,"NT$ 1,790.00",SG,2024-08-13 12:20
45,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",SG,2024-08-13 12:20
46,553850,HELLDIVERS™ 2,"NT$ 1,190.00",SG,2024-08-13 12:20
47,41922,God of War Ragnarök Digital Deluxe Edition,"NT$ 1,790.00",SG,2024-08-13 12:20
48,1172470,Apex Legends™,Free To Play,SG,2024-08-13 12:20
49,2488620,F1® 24,"NT$ 1,439.00",SG,2024-08-13 12:20
50,13013,Monster Hunter World: Iceborne Master Edition,NT$ 607.00,SG,2024-08-13 12:20
51,377160,Fallout 4,NT$ 239.00,SG,2024-08-13 12:20
52,2718190,Substance 3D Painter 2024,"NT$ 2,999.00",SG,2024-08-13 12:20
53,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",SG,2024-08-13 12:20
54,814380,Sekiro™: Shadows Die Twice - GOTY Edition,NT$ 795.00,SG,2024-08-13 12:20
55,381210,Dead by Daylight,NT$ 379.00,SG,2024-08-13 12:20
56,24386,Skyrim Anniversary Edition + Fallout 4 G.O.T.Y Bundle,NT$ 857.00,SG,2024-08-13 12:20
57,2625050,Call of Duty®: Modern Warfare® III - Moto Freak Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
58,124923,The Witcher 3: Wild Hunt - Complete Edition,NT$ 262.00,SG,2024-08-13 12:20
59,2840770,Avatar: Frontiers of Pandora™,NT$ 995.00,SG,2024-08-13 12:20
60,2731850,Call of Duty®: Modern Warfare® III - Nova 6 Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
61,2878980,NBA 2K25,"NT$ 2,090.00",SG,2024-08-13 12:20
62,958260,DEAD OR ALIVE Xtreme Venus Vacation,Free To Play,SG,2024-08-13 12:20
63,35030,Persona Collection,"NT$ 1,576.00",SG,2024-08-13 12:20
64,1745440,Destiny 2: Triumphant Silver Bundle,NT$ 465.00,SG,2024-08-13 12:20
65,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",SG,2024-08-13 12:20
66,582660,Black Desert,NT$ 200.00,SG,2024-08-13 12:20
67,2289415,Call of Duty®: Vanguard - Hell Hounds Mastercraft Ultimate Pack,"NT$ 1,390.00",SG,2024-08-13 12:20
68,2218003,Destiny 2: Echoes Silver Bundle,NT$ 465.00,SG,2024-08-13 12:20
69,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,SG,2024-08-13 12:20
70,2344520,Diablo® IV,"NT$ 1,575.00",SG,2024-08-13 12:20
71,236390,War Thunder,Free To Play,SG,2024-08-13 12:20
72,552520,Far Cry® 5,"NT$ 1,699.00",SG,2024-08-13 12:20
73,6998,Assetto Corsa Ultimate Edition,NT$ 263.00,SG,2024-08-13 12:20
74,2686650,Call of Duty®: Modern Warfare® III - Tech Luxe Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
75,1530160,Digimon World: Next Order,NT$ 392.00,SG,2024-08-13 12:20
76,2322010,God of War Ragnarök,"NT$ 1,490.00",SG,2024-08-13 12:20
77,2567870,Chained Together,NT$ 102.00,SG,2024-08-13 12:20
78,1649080,Two Point Campus,NT$ 199.00,SG,2024-08-13 12:20
79,1382330,Persona® 5 Strikers,NT$ 537.00,SG,2024-08-13 12:20
80,2783780,Call of Duty®: Modern Warfare® III - Tracer Pack: Trash Talk 2.0 Ultra Skin Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
81,805550,Assetto Corsa Competizione,NT$ 349.00,SG,2024-08-13 12:20
82,2534810,Call of Duty®: Modern Warfare® II - Pumpkin Patch: Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
83,2775840,Call of Duty®: Modern Warfare® III - Emerald Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
84,1569630,Destiny 2: Throne of Atheon Emote Bundle,NT$ 465.00,SG,2024-08-13 12:20
85,199943,Fallout 4: Game of the Year Edition,NT$ 479.00,SG,2024-08-13 12:20
86,1144200,Ready or Not,NT$ 846.00,SG,2024-08-13 12:20
87,1237970,Titanfall® 2,NT$ 79.00,SG,2024-08-13 12:20
88,306130,The Elder Scrolls® Online,NT$ 179.00,SG,2024-08-13 12:20
89,1282100,REMNANT II®,"NT$ 1,100.00",SG,2024-08-13 12:20
90,271590,Grand Theft Auto V,NT$ 662.00,SG,2024-08-13 12:20
91,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",SG,2024-08-13 12:20
92,2890190,Cult of the Lamb: Pilgrim Pack,NT$ 138.00,SG,2024-08-13 12:20
93,2790670,Call of Duty®: Modern Warfare® III - Tracer Pack: Zodiac: Cancer Pro Pack,NT$ 690.00,SG,2024-08-13 12:20
94,1476970,IdleOn - The Idle RPG,Free To Play,SG,2024-08-13 12:20
95,292030,The Witcher 3: Wild Hunt,NT$ 217.00,SG,2024-08-13 12:20
96,32110,Cult of the Lamb: The One Who Waits,NT$ 647.00,SG,2024-08-13 12:20
97,1286680,Tiny Tina's Wonderlands,NT$ 433.00,SG,2024-08-13 12:20
98,30424,Borderlands 3 Ultimate Edition,NT$ 732.00,SG,2024-08-13 12:20
99,413150,Stardew Valley,NT$ 318.00,SG,2024-08-13 12:20
100,1659040,HITMAN World of Assassination,NT$ 488.00,SG,2024-08-13 12:20
