Rank,GameID,GameName,Cost,Country,Datetime
1,2139460,Once Human,Free To Play,TH,2024-08-17 12:05
2,730,Counter-Strike 2,Free To Play,TH,2024-08-17 12:05
3,2358720,Black Myth: Wukong,"NT$ 1,280.00",TH,2024-08-17 12:05
4,570,Dota 2,Free To Play,TH,2024-08-17 12:05
5,1203220,NARAKA: BLADEPOINT,Free To Play,TH,2024-08-17 12:05
6,578080,PUBG: BATTLEGROUNDS,Free To Play,TH,2024-08-17 12:05
7,993090,Lossless Scaling,NT$ 138.00,TH,2024-08-17 12:05
8,1091500,Cyberpunk 2077,NT$ 799.00,TH,2024-08-17 12:05
9,2074920,The First Descendant,Free To Play,TH,2024-08-17 12:05
10,1575940,Sins of a Solar Empire II,NT$ 596.00,TH,2024-08-17 12:05
12,1245620,ELDEN RING,"NT$ 1,790.00",TH,2024-08-17 12:05
13,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",TH,2024-08-17 12:05
14,1222670,The Sims™ 4,Free To Play,TH,2024-08-17 12:05
15,582010,Monster Hunter: World,NT$ 303.00,TH,2024-08-17 12:05
16,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",TH,2024-08-17 12:05
17,381210,Dead by Daylight,NT$ 379.00,TH,2024-08-17 12:05
18,238960,Path of Exile(not available in your region),NT$ 379.00,TH,2024-08-17 12:05
19,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",TH,2024-08-17 12:05
20,1313140,Cult of the Lamb,NT$ 244.00,TH,2024-08-17 12:05
21,1687950,Persona 5 Royal,NT$ 716.00,TH,2024-08-17 12:05
22,1040200,Crime Scene Cleaner,NT$ 288.00,TH,2024-08-17 12:05
23,582660,Black Desert,NT$ 200.00,TH,2024-08-17 12:05
24,2526380,Sword of Convallaria,Free To Play,TH,2024-08-17 12:05
25,2369390,Far Cry® 6,NT$ 424.00,TH,2024-08-17 12:05
26,553850,HELLDIVERS™ 2,"NT$ 1,190.00",TH,2024-08-17 12:05
27,1649080,Two Point Campus,NT$ 199.00,TH,2024-08-17 12:05
28,1118010,Monster Hunter World: Iceborne,NT$ 455.00,TH,2024-08-17 12:05
29,2252570,Football Manager 2024,NT$ 519.00,TH,2024-08-17 12:05
30,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",TH,2024-08-17 12:05
31,594650,Hunt: Showdown 1896,NT$ 639.00,TH,2024-08-17 12:05
33,1222680,Need for Speed™ Heat,NT$ 199.00,TH,2024-08-17 12:05
34,1672500,GUNDAM BREAKER 4,"NT$ 1,790.00",TH,2024-08-17 12:05
35,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",TH,2024-08-17 12:05
37,552520,Far Cry® 5,NT$ 254.00,TH,2024-08-17 12:05
38,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,TH,2024-08-17 12:05
39,2161700,Persona 3 Reload,"NT$ 1,134.00",TH,2024-08-17 12:05
40,1158160,Coral Island,NT$ 899.00,TH,2024-08-17 12:05
41,1446780,MONSTER HUNTER RISE,NT$ 280.00,TH,2024-08-17 12:05
43,230410,Warframe,Free To Play,TH,2024-08-17 12:05
45,1574820,Until Then,NT$ 262.00,TH,2024-08-17 12:05
47,1086940,Baldur's Gate 3,"NT$ 1,599.00",TH,2024-08-17 12:05
48,1846380,Need for Speed™ Unbound,NT$ 199.00,TH,2024-08-17 12:05
49,2567870,Chained Together,NT$ 102.00,TH,2024-08-17 12:05
50,1172470,Apex Legends™,Free To Play,TH,2024-08-17 12:05
51,1665460,eFootball™ 2024,Free To Play,TH,2024-08-17 12:05
53,292030,The Witcher 3: Wild Hunt,NT$ 217.00,TH,2024-08-17 12:05
54,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,TH,2024-08-17 12:05
55,236390,War Thunder,Free To Play,TH,2024-08-17 12:05
56,377160,Fallout 4,NT$ 239.00,TH,2024-08-17 12:05
58,2162800,shapez 2,NT$ 326.00,TH,2024-08-17 12:05
59,1627720,Lies of P,NT$ 838.00,TH,2024-08-17 12:05
60,397540,Borderlands 3,NT$ 178.00,TH,2024-08-17 12:05
61,535930,Two Point Hospital,NT$ 178.00,TH,2024-08-17 12:05
62,826630,Iron Harvest,NT$ 131.00,TH,2024-08-17 12:05
64,2426960,Summoners War,Free To Play,TH,2024-08-17 12:05
65,431960,Wallpaper Engine,NT$ 120.00,TH,2024-08-17 12:05
66,413150,Stardew Valley,NT$ 398.00,TH,2024-08-17 12:05
67,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",TH,2024-08-17 12:05
68,552990,World of Warships,Free To Play,TH,2024-08-17 12:05
69,2073850,THE FINALS,Free To Play,TH,2024-08-17 12:05
70,1790600,DRAGON BALL: Sparking! ZERO,"NT$ 1,890.00",TH,2024-08-17 12:05
72,1948980,Hero's Adventure: Road to Passion,NT$ 204.00,TH,2024-08-17 12:05
74,1938090,Call of Duty®,NT$ 204.00,TH,2024-08-17 12:05
76,1238810,Battlefield™ V,NT$ 209.00,TH,2024-08-17 12:05
77,1517290,Battlefield™ 2042,NT$ 239.00,TH,2024-08-17 12:05
78,346110,ARK: Survival Evolved,NT$ 268.00,TH,2024-08-17 12:05
79,1778820,TEKKEN 8,"NT$ 1,990.00",TH,2024-08-17 12:05
80,2344520,Diablo® IV,"NT$ 1,575.00",TH,2024-08-17 12:05
82,298110,Far Cry® 4,NT$ 169.00,TH,2024-08-17 12:05
83,108600,Project Zomboid,NT$ 328.00,TH,2024-08-17 12:05
84,728880,Overcooked! 2,NT$ 168.00,TH,2024-08-17 12:05
85,949230,Cities: Skylines II,"NT$ 1,398.00",TH,2024-08-17 12:05
86,502500,ACE COMBAT™ 7: SKIES UNKNOWN,NT$ 206.00,TH,2024-08-17 12:05
87,252490,Rust,NT$ 694.00,TH,2024-08-17 12:05
88,648800,Raft,NT$ 468.00,TH,2024-08-17 12:05
89,805550,Assetto Corsa Competizione,NT$ 349.00,TH,2024-08-17 12:05
90,2357570,Overwatch® 2,Free To Play,TH,2024-08-17 12:05
92,1089090,ONE PIECE: PIRATE WARRIORS 4,NT$ 457.00,TH,2024-08-17 12:05
93,985810,GrandChase,Free To Play,TH,2024-08-17 12:05
94,1774580,STAR WARS Jedi: Survivor™,NT$ 899.00,TH,2024-08-17 12:05
95,371660,Far Cry® Primal,NT$ 354.00,TH,2024-08-17 12:05
96,1845910,Dragon Age™: The Veilguard,"NT$ 1,799.00",TH,2024-08-17 12:05
97,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,TH,2024-08-17 12:05
98,2608270,Intravenous 2,NT$ 295.00,TH,2024-08-17 12:05
99,1289670,EA Play,NT$ 169.00,TH,2024-08-17 12:05
100,550470,NosTale - Anime MMORPG,Free To Play,TH,2024-08-17 12:05
