Rank,GameID,GameName,Cost,Country,Datetime
1,2358720,Black Myth: Wukong,"NT$ 1,280.00",TR,2024-08-21 12:05
2,730,Counter-Strike 2,Free To Play,TR,2024-08-21 12:05
3,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",TR,2024-08-21 12:05
4,578080,PUBG: BATTLEGROUNDS,Free To Play,TR,2024-08-21 12:05
6,271590,Grand Theft Auto V,NT$ 480.00,TR,2024-08-21 12:05
7,570,Dota 2,Free To Play,TR,2024-08-21 12:05
8,2252570,Football Manager 2024,NT$ 519.00,TR,2024-08-21 12:05
9,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,TR,2024-08-21 12:05
10,440,Team Fortress 2,Free To Play,TR,2024-08-21 12:05
11,1030840,Mafia: Definitive Edition,NT$ 238.00,TR,2024-08-21 12:05
12,1172470,Apex Legends™,Free To Play,TR,2024-08-21 12:05
13,389430,Knight Online,Free To Play,TR,2024-08-21 12:05
14,1245620,ELDEN RING,"NT$ 1,790.00",TR,2024-08-21 12:05
16,413150,Stardew Valley,NT$ 398.00,TR,2024-08-21 12:05
17,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",TR,2024-08-21 12:05
18,1665460,eFootball™ 2024,Free To Play,TR,2024-08-21 12:05
19,2322010,God of War Ragnarök,"NT$ 1,490.00",TR,2024-08-21 12:05
20,239140,Dying Light,NT$ 60.00,TR,2024-08-21 12:05
21,252490,Rust,NT$ 694.00,TR,2024-08-21 12:05
22,227300,Euro Truck Simulator 2,NT$ 428.00,TR,2024-08-21 12:05
23,2139460,Once Human,Free To Play,TR,2024-08-21 12:05
24,2567870,Chained Together,NT$ 102.00,TR,2024-08-21 12:05
25,1295660,Sid Meier's Civilization® VII,"NT$ 2,090.00",TR,2024-08-21 12:05
26,582660,Black Desert,NT$ 200.00,TR,2024-08-21 12:05
28,1771300,Kingdom Come: Deliverance II,"NT$ 1,755.00",TR,2024-08-21 12:05
29,2344520,Diablo® IV,"NT$ 1,575.00",TR,2024-08-21 12:05
30,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",TR,2024-08-21 12:05
31,381210,Dead by Daylight,NT$ 379.00,TR,2024-08-21 12:05
32,236390,War Thunder,Free To Play,TR,2024-08-21 12:05
33,2725200,Prisoners,NT$ 61.00,TR,2024-08-21 12:05
34,2357570,Overwatch® 2,Free To Play,TR,2024-08-21 12:05
35,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",TR,2024-08-21 12:05
36,2074920,The First Descendant,Free To Play,TR,2024-08-21 12:05
