Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,US,2024-08-11 12:05
2,1675200,Steam Deck,Free To Play,US,2024-08-11 12:05
3,2074920,The First Descendant,Free To Play,US,2024-08-11 12:05
4,553850,HELLDIVERS™ 2,"NT$ 1,190.00",US,2024-08-11 12:05
5,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",US,2024-08-11 12:05
6,1245620,ELDEN RING,"NT$ 1,790.00",US,2024-08-11 12:05
7,33369,Borderlands Collection: Pandora's Box,"NT$ 1,119.00",US,2024-08-11 12:05
8,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",US,2024-08-11 12:05
9,397540,Borderlands 3,NT$ 178.00,US,2024-08-11 12:05
10,236390,War Thunder,Free To Play,US,2024-08-11 12:05
11,1086940,Baldur's Gate 3,"NT$ 1,599.00",US,2024-08-11 12:05
12,311210,Call of Duty®: Black Ops III,NT$ 659.00,US,2024-08-11 12:05
13,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,US,2024-08-11 12:05
14,230410,Warframe,Free To Play,US,2024-08-11 12:05
15,1085660,Destiny 2,Free To Play,US,2024-08-11 12:05
16,1593500,God of War,NT$ 476.00,US,2024-08-11 12:05
17,306130,The Elder Scrolls® Online,NT$ 179.00,US,2024-08-11 12:05
18,393080,Call of Duty®: Modern Warfare® Remastered (2017),NT$ 655.00,US,2024-08-11 12:05
19,2139460,Once Human,Free To Play,US,2024-08-11 12:05
20,381210,Dead by Daylight,NT$ 379.00,US,2024-08-11 12:05
21,2142790,Fields of Mistria,NT$ 248.00,US,2024-08-11 12:05
22,1222670,The Sims™ 4,Free To Play,US,2024-08-11 12:05
23,2358720,Black Myth: Wukong,"NT$ 1,280.00",US,2024-08-11 12:05
24,49520,Borderlands 2,NT$ 149.00,US,2024-08-11 12:05
25,238960,Path of Exile(not available in your region),NT$ 149.00,US,2024-08-11 12:05
26,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",US,2024-08-11 12:05
27,271590,Grand Theft Auto V,NT$ 662.00,US,2024-08-11 12:05
28,377160,Fallout 4,NT$ 239.00,US,2024-08-11 12:05
29,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,US,2024-08-11 12:05
30,1172470,Apex Legends™,Free To Play,US,2024-08-11 12:05
31,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,US,2024-08-11 12:05
32,440,Team Fortress 2,Free To Play,US,2024-08-11 12:05
33,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,US,2024-08-11 12:05
34,1962663,Call of Duty®: Warzone™,Free To Play,US,2024-08-11 12:05
35,782330,DOOM Eternal,NT$ 299.00,US,2024-08-11 12:05
36,252490,Rust,NT$ 694.00,US,2024-08-11 12:05
37,1151340,Fallout 76,NT$ 299.00,US,2024-08-11 12:05
38,578080,PUBG: BATTLEGROUNDS,Free To Play,US,2024-08-11 12:05
39,2567870,Chained Together,NT$ 102.00,US,2024-08-11 12:05
40,199943,Fallout 4: Game of the Year Edition,NT$ 479.00,US,2024-08-11 12:05
41,2344520,Diablo® IV,"NT$ 1,575.00",US,2024-08-11 12:05
