GameID,Rank,Positive,Negative,Total,Rating,Date
620,1,397848,5240,403088,0.977,2024-08-14
1118200,2,251725,3493,255218,0.9749,2024-08-14
413150,3,732259,12599,744858,0.9748,2024-08-14
1794680,4,230023,3475,233498,0.9734,2024-08-14
1145360,5,261704,4473,266177,0.9719,2024-08-14
400,6,160411,2495,162906,0.9716,2024-08-14
2420510,7,30341,224,30565,0.9706999999999999,2024-08-14
105600,8,1287803,31727,1319530,0.9691,2024-08-14
294100,9,187968,3833,191801,0.9677,2024-08-14
546560,10,88882,1529,90411,0.9675,2024-08-14
550,11,857831,21909,879740,0.9673999999999999,2024-08-14
1089980,12,45132,614,45746,0.9673,2024-08-14
1144400,13,24384,234,24618,0.9671,2024-08-14
2231450,14,59351,925,60276,0.9670000000000001,2024-08-14
1055540,15,16843,130,16973,0.9661,2024-08-14
227300,16,769209,20638,789847,0.9659,2024-08-14
646570,17,158540,3506,162046,0.9654,2024-08-14
433340,18,120881,2569,123450,0.9651000000000001,2024-08-14
1229490,19,120334,2610,122944,0.9647,2024-08-14
508440,21,123533,2722,126255,0.9645,2024-08-14
48700,20,158503,3665,162168,0.9645,2024-08-14
250900,22,289327,7397,296724,0.9643999999999999,2024-08-14
1966720,23,409303,11094,420397,0.9640000000000001,2024-08-14
420530,24,45391,790,46181,0.9639,2024-08-14
2608050,26,9025,39,9064,0.9638,2024-08-14
2313250,25,16011,157,16168,0.9638,2024-08-14
460950,29,65598,1296,66894,0.9637,2024-08-14
1289310,28,117091,2656,119747,0.9637,2024-08-14
220,27,193130,4784,197914,0.9637,2024-08-14
1920960,30,40438,694,41132,0.9634,2024-08-14
10,31,233684,6151,239835,0.963,2024-08-14
960090,32,314153,8672,322825,0.9627,2024-08-14
2050650,33,140788,3470,144258,0.9626,2024-08-14
284160,34,256725,7083,263808,0.9621,2024-08-14
1230140,36,17686,224,17910,0.9619,2024-08-14
3590,35,126367,3147,129514,0.9619,2024-08-14
548430,37,296803,8641,305444,0.9612,2024-08-14
2291760,39,9113,67,9180,0.9611,2024-08-14
367520,38,354228,10535,364763,0.9611,2024-08-14
1366540,40,78290,1875,80165,0.9606999999999999,2024-08-14
253230,41,49055,1050,50105,0.9606,2024-08-14
205100,42,77543,1869,79412,0.9605,2024-08-14
1583720,44,23988,403,24391,0.9604,2024-08-14
504230,43,101312,2590,103902,0.9604,2024-08-14
4000,45,1056133,35599,1091732,0.9603,2024-08-14
1129190,49,11292,125,11417,0.9597,2024-08-14
774181,48,19695,314,20009,0.9597,2024-08-14
1288310,47,38509,806,39315,0.9597,2024-08-14
1281930,46,257251,7775,265026,0.9597,2024-08-14
1332010,51,139570,3891,143461,0.9595999999999999,2024-08-14
1086940,50,619728,20532,640260,0.9595999999999999,2024-08-14
1361320,52,14608,203,14811,0.9593,2024-08-14
1568400,55,10339,116,10455,0.9588,2024-08-14
213670,54,60820,1498,62318,0.9588,2024-08-14
588650,53,151061,4391,155452,0.9588,2024-08-14
1170880,57,13090,178,13268,0.9587,2024-08-14
1467450,56,14396,208,14604,0.9587,2024-08-14
2795000,58,4766,14,4780,0.9582999999999999,2024-08-14
1868140,60,104703,2951,107654,0.9581000000000001,2024-08-14
264710,59,271441,8743,280184,0.9581000000000001,2024-08-14
1150690,61,70267,1852,72119,0.958,2024-08-14
1669980,62,34321,759,35080,0.9579000000000001,2024-08-14
1307580,63,6511,49,6560,0.9576,2024-08-14
1931770,64,15309,249,15558,0.9575,2024-08-14
250320,65,32861,734,33595,0.9573999999999999,2024-08-14
219150,66,94883,2713,97596,0.9573,2024-08-14
526870,67,160858,5050,165908,0.9570000000000001,2024-08-14
883710,68,153963,4834,158797,0.9568000000000001,2024-08-14
774801,70,22241,452,22693,0.9566,2024-08-14
1942280,69,75901,2148,78049,0.9566,2024-08-14
288160,71,26553,583,27136,0.9564,2024-08-14
1533420,72,15358,272,15630,0.9562,2024-08-14
239030,73,68051,1919,69970,0.9561,2024-08-14
32470,75,35795,876,36671,0.956,2024-08-14
238460,74,68722,1948,70670,0.956,2024-08-14
2263010,76,22112,466,22578,0.9559000000000001,2024-08-14
2381620,77,7029,74,7103,0.9556999999999999,2024-08-14
207610,78,66636,1914,68550,0.9556,2024-08-14
1092790,79,113537,3589,117126,0.9554,2024-08-14
787480,83,31016,753,31769,0.9553,2024-08-14
270880,82,153239,5066,158305,0.9553,2024-08-14
427520,81,181645,6118,187763,0.9553,2024-08-14
391540,80,228078,7883,235961,0.9553,2024-08-14
2379780,84,45409,1222,46631,0.9551999999999999,2024-08-14
1999360,86,14495,270,14765,0.9549,2024-08-14
667970,85,16579,329,16908,0.9549,2024-08-14
1240210,87,21483,476,21959,0.9547,2024-08-14
447530,88,33721,862,34583,0.9545999999999999,2024-08-14
1113000,89,68950,2077,71027,0.9545,2024-08-14
1353230,90,10604,173,10777,0.9544,2024-08-14
324160,91,8787,127,8914,0.9543,2024-08-14
1698960,93,4772,36,4808,0.9541,2024-08-14
1584090,92,22615,526,23141,0.9541,2024-08-14
736260,94,19973,447,20420,0.9540000000000001,2024-08-14
1290000,96,44219,1255,45474,0.9537,2024-08-14
457140,95,114434,3833,118267,0.9537,2024-08-14
264200,98,15902,337,16239,0.9534,2024-08-14
337340,97,17119,373,17492,0.9534,2024-08-14
425580,100,18245,412,18657,0.9531999999999999,2024-08-14
698780,99,194265,7052,201317,0.9531999999999999,2024-08-14
292030,101,759940,31102,791042,0.953,2024-08-14
1817230,103,30170,806,30976,0.9529000000000001,2024-08-14
219740,102,103837,3520,107357,0.9529000000000001,2024-08-14
636480,104,66641,2125,68766,0.9527,2024-08-14
1562700,106,27694,731,28425,0.9526,2024-08-14
1687950,105,72637,2361,74998,0.9526,2024-08-14
274190,108,55487,1722,57209,0.9525,2024-08-14
1057090,107,125062,4402,129464,0.9525,2024-08-14
223470,109,99980,3431,103411,0.9523999999999999,2024-08-14
217980,110,13207,274,13481,0.9523,2024-08-14
1424330,111,10115,185,10300,0.9521999999999999,2024-08-14
424280,112,16900,390,17290,0.9521,2024-08-14
2368470,115,5783,72,5855,0.9519,2024-08-14
1454400,114,65730,2149,67879,0.9519,2024-08-14
70,113,126902,4570,131472,0.9519,2024-08-14
1677770,117,6740,97,6837,0.9518000000000001,2024-08-14
531510,116,19464,479,19943,0.9518000000000001,2024-08-14
2570630,118,5279,61,5340,0.9517,2024-08-14
2070550,120,3472,21,3493,0.9516,2024-08-14
1082430,119,14123,313,14436,0.9516,2024-08-14
2458530,122,5528,69,5597,0.9514,2024-08-14
739630,121,670646,28362,699008,0.9514,2024-08-14
304430,124,58632,1927,60559,0.9512,2024-08-14
1593500,123,130428,4807,135235,0.9512,2024-08-14
420,125,39728,1214,40942,0.9511,2024-08-14
1567800,128,4095,37,4132,0.951,2024-08-14
1070710,127,8619,155,8774,0.951,2024-08-14
268910,126,160931,6113,167044,0.951,2024-08-14
40970,130,17744,441,18185,0.9509000000000001,2024-08-14
519860,129,21583,571,22154,0.9509000000000001,2024-08-14
341800,131,13506,305,13811,0.9508,2024-08-14
557600,134,16194,393,16587,0.9506999999999999,2024-08-14
238320,133,113617,4186,117803,0.9506999999999999,2024-08-14
240,132,167140,6433,173573,0.9506999999999999,2024-08-14
1708150,135,5254,67,5321,0.9506,2024-08-14
629730,136,50545,1655,52200,0.9505,2024-08-14
1586800,139,4151,41,4192,0.9504,2024-08-14
1093910,138,12371,275,12646,0.9504,2024-08-14
632360,137,271290,11028,282318,0.9504,2024-08-14
1260520,142,3506,27,3533,0.9503,2024-08-14
2415010,141,6470,101,6571,0.9503,2024-08-14
2593370,140,32355,975,33330,0.9503,2024-08-14
203160,143,225982,9094,235076,0.9501999999999999,2024-08-14
1713610,144,4082,41,4123,0.9501000000000001,2024-08-14
2600140,148,2986,17,3003,0.95,2024-08-14
2220360,147,3763,34,3797,0.95,2024-08-14
412830,146,16870,429,17299,0.95,2024-08-14
2324650,145,20810,565,21375,0.95,2024-08-14
8930,150,191121,7668,198789,0.9497,2024-08-14
22380,149,206678,8356,215034,0.9497,2024-08-14
1507970,152,4460,53,4513,0.9495,2024-08-14
851100,151,13042,310,13352,0.9495,2024-08-14
432350,154,5110,70,5180,0.9494,2024-08-14
319630,153,159295,6326,165621,0.9494,2024-08-14
683320,155,70196,2520,72716,0.9493,2024-08-14
1901370,158,3718,36,3754,0.9492,2024-08-14
1684930,157,6028,96,6124,0.9492,2024-08-14
2121360,156,11587,266,11853,0.9492,2024-08-14
1390350,159,12588,305,12893,0.9488,2024-08-14
1277930,160,5160,76,5236,0.9486,2024-08-14
1969080,161,3593,36,3629,0.9484999999999999,2024-08-14
1292940,162,5982,101,6083,0.9483,2024-08-14
1806840,165,5718,95,5813,0.9481,2024-08-14
1059990,164,8653,184,8837,0.9481,2024-08-14
541570,163,18498,525,19023,0.9481,2024-08-14
1746030,166,12347,308,12655,0.948,2024-08-14
1369320,167,9324,208,9532,0.9479000000000001,2024-08-14
1895350,169,2973,24,2997,0.9478,2024-08-14
206190,168,12523,316,12839,0.9478,2024-08-14
206440,171,73179,2781,75960,0.9477,2024-08-14
322330,170,443697,20075,463772,0.9477,2024-08-14
2291850,174,5399,89,5488,0.9476,2024-08-14
1275670,173,12321,312,12633,0.9476,2024-08-14
312990,172,17569,500,18069,0.9476,2024-08-14
204360,175,111896,4510,116406,0.9475,2024-08-14
351640,177,11579,289,11868,0.9473999999999999,2024-08-14
1392820,176,25273,799,26072,0.9473999999999999,2024-08-14
597170,179,28125,913,29038,0.9473,2024-08-14
435150,178,173968,7390,181358,0.9473,2024-08-14
597220,182,9071,207,9278,0.9472,2024-08-14
1989270,181,13688,366,14054,0.9472,2024-08-14
2532550,180,24099,758,24857,0.9472,2024-08-14
450540,183,19936,601,20537,0.9470000000000001,2024-08-14
1067310,185,6505,128,6633,0.9467,2024-08-14
362680,184,16340,472,16812,0.9467,2024-08-14
745880,187,4407,66,4473,0.9466,2024-08-14
242760,186,529411,24916,554327,0.9466,2024-08-14
1328840,188,5577,101,5678,0.9465,2024-08-14
1604000,189,15145,432,15577,0.9464,2024-08-14
1520370,190,12355,332,12687,0.9462999999999999,2024-08-14
1211020,194,21361,677,22038,0.9462,2024-08-14
221640,193,23563,764,24327,0.9462,2024-08-14
312530,192,36399,1292,37691,0.9462,2024-08-14
35140,191,63117,2448,65565,0.9462,2024-08-14
1469280,197,6676,138,6814,0.9460999999999999,2024-08-14
1241510,196,18984,585,19569,0.9460999999999999,2024-08-14
500,195,54990,2101,57091,0.9460999999999999,2024-08-14
897220,199,3432,42,3474,0.946,2024-08-14
653530,198,25104,830,25934,0.946,2024-08-14
1530140,202,2413,17,2430,0.9458,2024-08-14
246420,201,13142,367,13509,0.9458,2024-08-14
1388880,200,23452,771,24223,0.9458,2024-08-14
1927720,203,4294,68,4362,0.9455,2024-08-14
1985690,205,13286,379,13665,0.9454,2024-08-14
644560,204,83066,3421,86487,0.9454,2024-08-14
1708870,207,6302,132,6434,0.9453,2024-08-14
488860,206,14039,409,14448,0.9453,2024-08-14
1171370,208,3686,52,3738,0.9451999999999999,2024-08-14
1434480,209,3983,61,4044,0.9451,2024-08-14
926990,211,8087,194,8281,0.945,2024-08-14
990630,210,9589,248,9837,0.945,2024-08-14
617670,213,13599,399,13998,0.9449,2024-08-14
2495980,212,14462,432,14894,0.9449,2024-08-14
1250760,216,6230,134,6364,0.9445999999999999,2024-08-14
1388770,215,17447,556,18003,0.9445999999999999,2024-08-14
235460,214,73901,3069,76970,0.9445999999999999,2024-08-14
397740,218,5026,96,5122,0.9445,2024-08-14
601150,217,122574,5405,127979,0.9445,2024-08-14
214560,219,15334,474,15808,0.9444,2024-08-14
420110,220,12143,351,12494,0.9443,2024-08-14
1262350,222,18969,626,19595,0.9442,2024-08-14
1817070,221,93415,4035,97450,0.9442,2024-08-14
909080,225,9307,247,9554,0.9440999999999999,2024-08-14
32440,224,21874,748,22622,0.9440999999999999,2024-08-14
1455840,223,25274,893,26167,0.9440999999999999,2024-08-14
1428310,227,5156,103,5259,0.9440000000000001,2024-08-14
1406990,226,8203,208,8411,0.9440000000000001,2024-08-14
200260,228,60378,2484,62862,0.9439,2024-08-14
623080,230,2686,30,2716,0.9437000000000001,2024-08-14
658920,229,5879,129,6008,0.9437000000000001,2024-08-14
1285670,232,9834,273,10107,0.9434999999999999,2024-08-14
2378900,231,21420,743,22163,0.9434999999999999,2024-08-14
1337010,234,5652,123,5775,0.9434,2024-08-14
2109460,233,14497,457,14954,0.9434,2024-08-14
2365810,235,10186,289,10475,0.9433,2024-08-14
2551500,239,5411,116,5527,0.9431999999999999,2024-08-14
1421250,238,17912,602,18514,0.9431999999999999,2024-08-14
221380,237,95680,4242,99922,0.9431999999999999,2024-08-14
814380,236,279643,13640,293283,0.9431999999999999,2024-08-14
1829980,243,4043,72,4115,0.9431,2024-08-14
2056220,242,4878,99,4977,0.9431,2024-08-14
602520,241,11499,342,11841,0.9431,2024-08-14
261030,240,28925,1081,30006,0.9431,2024-08-14
1996010,245,3003,41,3044,0.943,2024-08-14
1948280,244,23184,832,24016,0.943,2024-08-14
1665190,247,2793,36,2829,0.9427,2024-08-14
1764390,246,7125,180,7305,0.9427,2024-08-14
1282200,250,5646,128,5774,0.9426000000000001,2024-08-14
2171440,249,7924,210,8134,0.9426000000000001,2024-08-14
379720,248,184111,8829,192940,0.9426000000000001,2024-08-14
